Year	State	All Companies	AFC	Agro Energia	Alcídia	Alpargatas	Alumini	Amil	Andrade Gutierrez	Arosuco	Auguri	Barbosa Mello	Bracol	Braskem	Brenco	BTG	Camargo Corrêa	Caoa	Carioca Christiani Nielsen	Carvalho Hosken	Cavo	CBD	CBPO	Cervejaria Petrópolis	CMT	CNEC	Coesa	Conduto	Consilux	Constran	Construbase	Construcap	Contax	Copersucar	Copesul	Cowan	CR Almeida	Credencial	CSN	Cutrale	DAG	Delta	E.M.S.	EBSA	Egesa	EIT	Eldorado	Encalso	Energia Verde	Engevix	Equador	Equipav	Estaleiro Atlântico Sul	Estre	Evidence	Ferreira Guedes	Fidens	Flora	Fluxo	FW	Galvão Engenharia	GDK	Genpro	Guilherme Gonçalves	Hochtief	Hope	Hypermarcas	Iesa	Induscar	Intercement	Interoil	Interpar	Ipiranga	Isolux	Jaraguá Equipamentos	JBS	JMalucelli	Labogen	Legend	Leyroz de Caxias	Libra	Logimed	Marcio Vaz Ferreira Ramos	Marquise	Mendes Junior	Mídia Show	Multiplan	Multitek	OAS	Odebrecht	Ourívio	Parauapebas	Paviservice	Pavotec	Pedra Sul	Personal Service	Portanova	Posto da Torre	PowerToTen	Praiamar	Quantiq	Queiroz Galvão	Quips	Reginaves	Riomarine	Rock Star	Sanches Tripoloni	Santista	São Fernando	SAPaulista	Schahin	Serveng Civilsan	Sideraço	Somague	SP Terraplanagem	STD Indústria e Comércio	Sul Brasil	Techint	Tempo Serviços	Terminais Fluviais Do Brasil	TGS	Tiisa	Tomé Equipamentos	Toyo Setal	Tractebel	Trier	Triunfo	Unipar	Usina Conquista do Pontal	Usina Eldorado	UTC	Vallourec	Vega Engenharia	Via Engenharia	Vigor	Vital Engenharia	WTorre	Zulu Filmes
2012	PT	789357120	6240.9135	1159950	678144.189	2457771.52	6272008.495	14857533.71	63063765.83	3936384.213	436863.945	5631138.459	2033259.19	14831283.26	1345000	16435524.96	61341278.28	5906811.851	9400599.249	1708564.515	2000000	2757284.25	1766451.35	31043014.81	2416910.75	790567.2643	2751778.206	1609851.4	118577.3565	591704.7834	16098.514	3665502.105	7249384.265	6644832.47	2708752.838	0	4386708.383	124818.27	11369439.21	17420146.49	270000	1435410.105	10689.941	62409.135	1874502.553	293077.1244	0	0	0	9415791.471	32197.028	2707025.29	37445.481	1997092.32	0	850285.3941	1492528.219	5823152	0	0	10986819.43	694846.165	933713.812	12481.827	0	0	8666728.86	1968865.134	0	3344521.07	0	37445.481	2815638.374	436863.945	3744548.1	138457986	500000	0	0	6777632.061	499273.08	2357425	5885.8278	4383783.617	4496502.106	0	3355084.086	0	72922963.19	21465896.41	0	400000	943989.5812	88411.39184	0	0	13984.17714	0	0	3042217.119	1312960.726	35780507.62	4056593.775	0	0	0	2578331.973	64394.056	429000	2953146.15	0	14008344.57	3219.7028	0	0	0	8049.257	80492.57	8678504.365	0	207.7191261	750000	0	290000	4715736.232	873727.89	15729013.42	2495269.67	805000	742045.675	40882179.92	1419583.854	6231765.554	6328123.321	340000	1123364.43	6088500.324	0
2012	PSDB	516900357.2	0	220000	744454.81	6756182.694	3024839.994	3038434.2	45928315.01	1431928.278	0	9523907.319	6506454	10126100.98	0	13055872.92	27673102.75	5049672.946	5755858.419	366233.593	0	4113798.74	5221823.431	891325.19	1280222.813	1318775.101	561682.215	10689.941	0	3425129.636	1379939.74	5759305.626	9946433.225	13619370.73	1198830.473	94185.95478	9443154.153	0	4917890.868	16587205.72	0	0	0	37445.481	6445614.019	5186869.576	0	769032.7785	2901942.2	2075705.678	172263.5887	0	748909.62	829609.426	0	1642261.345	4570354.79	0	0	0	9725531.013	2137988.2	0	0	0	0	2687146.035	299563.848	156022.8375	6061053.478	0	0	6788517.891	0	278216.881	79728593.2	17970.78805	0	0	6041204.268	149781.924	0	2137.9882	2224324.976	7252949.2	0	3285544.497	0	36214710.86	21690289.19	5344.9705	0	329963.654	532912.6396	374454.81	0	0	555398.733	0	1912763.917	791534.75	24366322.98	405659.3775	0	122409.135	0	2532694.35	0	0	2181434.178	0	7641324.42	0	0	0	16098.514	0	24147.771	661682.215	0	0	1419701.35	0	60000	4054063.659	0	3129150.043	3327778.495	911676	20000	11082938.94	3439282.424	3839258.481	10374548.21	0	0	3695136.137	0
2012	PMDB	385834026.8	0	15000	312045.675	2907568.616	3060872.855	7986690.7	38194912.88	4063331.854	0	2314498.274	2600189.858	6372959.87	0	17516917.07	16049059.8	563447.99	8841344.258	2033035.148	3457466.079	1161244.524	1215115.653	8017242.97	2497673.056	1116971.375	2060627.3	0	0	374454.81	0	48831.62252	7052232.255	1266172.49	2080687.003	2697305.233	2681283.216	0	2438924.871	5068937.089	659273.08	1435410.105	0	160985.14	5977164.579	1848918.157	0	0	934454.81	2608925.09	624091.35	80000	374454.81	650000	2478.355921	275000	861489.645	0	0	349491.156	5864871.232	235178.702	0	38145.42892	0	8300.6049	1346398.15	823800.582	2137.9882	2453805.475	0	0	2090727.615	0	0	56902901.37	907739.9809	1133561.344	0	5936356.921	786355.101	80000	0	4126935.274	3442427.03	0	2218715.78	0	36131578.4	16703397.64	0	0	120000	245876.102	0	4275.9764	0	63106.17488	0	1625849.363	159170	28429216.94	436863.945	106899.41	0	0	1713344.24	0	0	1406532.532	0	3482769.485	0	0	0	0	0	0	2492296.78	0	0	0	722783.7928	50000	2284193.048	1872274.05	3273955.726	1126895.98	250000	452615.9593	5986998.879	532515.503	2434417.882	7670229.01	1403807.03	2496365.4	848258.279	0
2012	PSB	156581939.8	0	1765000	0	4899091.35	1471125.56	305419.46	9685302.571	4997372.81	0	627574.591	124818.27	2025430.165	18042.76	3197492.5	11540324.6	649055.004	1227357.191	138969.233	0	653325.0489	569810.918	3592715.56	148104.7345	68650.0485	250000	0	0	215854.616	0	2017310.2	2246728.86	2236260.07	112435.188	0	1390731.22	0	5692579.16	2844773.784	0	0	0	320698.23	869457.6675	2520403.598	1000000	0	251811.54	102409.135	0	0	187227.405	0	0	187227.405	672386.892	0	0	0	5944528.087	0	0	0	0	32197.028	56000	0	0	200000	10689.941	0	929290.5775	0	0	18320189.36	100000	0	0	399418.464	3815427.164	1067160.09	0	1337397.335	544420.8109	0	239384.85	0	14995673.77	6032408.938	0	0	18722.7405	154818.27	0	0	0	0	0	99854.616	310450	18176508.83	0	10689.941	0	0	0	0	0	578705.2305	0	1893674.03	0	0	0	0	0	0	437227.405	0	0	0	0	94000	380000	0	0	506195.124	927525	4185.61364	1404937.732	283891.181	943258.908	5504822.758	0	0	5008.7	0
2012	DEM	120810922.8	0	20000	0	76387.44893	1305477.391	382225	1341083.913	699273.08	0	1198330.248	1384217.141	2223558.912	0	650661.54	14992123.4	259280.682	2415452.558	748909.62	124818.27	676659.831	1726075.166	7253531.04	676137.588	1647601.164	562045.675	0	0	99854.616	0	300000	2746001.94	2248544.825	313412.203	12050.11805	1491310.394	0	525715.184	474785.3221	249636.54	0	0	0	3188988.854	4640594.514	0	402625	3625	913291.1265	0	0	62409.135	20928.0682	0	1899.4	956845.9472	200000	0	0	1159169.66	513117.168	0	0	0	0	124818.27	0	0	493032.1665	0	0	1687437.993	0	0	7330796.61	20000	0	0	2476394.477	149781.924	0	0	85519.528	264905.5004	0	561682.215	0	9759417.083	8531578.521	0	0	102481.827	8049.257	0	0	0	0	0	1516563.619	103085	4589965.235	0	0	0	0	18722.7405	0	0	1656618.32	0	3713323.26	8049.257	321970.28	0	0	0	0	2246728.86	0	0	0	0	0	698696.1615	0	1600821.16	670347.4	274322	0	7000717.463	668369.442	2258708.446	479970.725	167000	0	332393.38	0
2012	PP	112602605.2	0	579000	0	110912	224672.886	280000	4846673.36	607091.059	0	614257.011	1026554.2	2285727.728	0	2270000	1697500.288	837325.7	983811.879	10000	0	426531.614	220984.056	43990.05	102000	698982.312	0	0	0	591682.215	0	0	1872274.05	2745689.865	982233.143	0	1454220.46	0	201231.425	112689.598	0	43187.36164	0	0	3042583.364	115858.84	0	0	0	829943.698	12481.827	0	0	500000	0	0	160985.14	3025570	0	50000	5356017.786	0	0	0	10689.941	0	0	0	0	312045.675	0	0	1184165.999	0	2290415.255	40813363.2	0	0	0	519418.464	164818.27	0	0	300000	998546.16	0	309636.54	0	6162447.265	1022103.241	0	0	506952.405	0	0	0	0	0	0	105010.616	376300.83	8940790.133	0	0	0	0	806797.222	0	0	0	16098.514	247818.27	0	0	0	0	0	4275.9764	128572.54	0	0	0	0	0	1294461.874	0	124818.27	80492.57	0	0	1901967.805	158548.2797	502459.954	312815.073	0	4044111.948	0	0
2012	PR	81488796.03	0	0	280841.1075	13922.5	124818.27	763768	4008435.4	62409.135	0	2551369.966	0	424818.27	0	725000	2029404.868	0	2856714.626	0	0	112562.393	88541.827	52076.92	406930.81	24963.654	0	0	0	0	0	0	1123364.43	62409.135	0	0	62409.135	0	24147.771	0	0	85519.528	0	0	2478947.045	230913.7995	0	0	0	2429880.438	0	396.66	0	183980.41	0	312045.675	1133289.035	130000	0	0	1794853.19	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	20500655.97	0	0	0	1872274.05	687227.405	0	0	0	1123364.43	0	0	0	3631217.14	741735.884	0	0	842523.3225	302300.097	0	0	0	0	0	499273.08	120000	7201404.419	0	0	0	0	5118856.75	0	0	729273.2348	0	1098546.16	0	0	0	0	0	0	287227.405	0	0	0	0	1914200	411900.291	0	0	0	0	280841.1075	3653130.055	198848.4315	871907.544	4808355.26	0	0	0	0
2012	PTB	60795808.97	0	20000	0	108258	511292.179	707049.5	1834745.234	149781.924	37445.481	812141.5282	1517668.45	1501437.252	0	0	2537715.633	990387.33	3167823.259	124818.27	0	309609.343	307938.466	678746.89	100000	0	481354.22	0	0	124819.5182	0	0	1248182.7	3000214.885	310008.289	187227.405	299718.27	0	0	1013084.53	200000	0	0	0	2514448.835	308339.153	2043000	0	0	748371.1545	0	0	37445.481	0	0	455	0	2002000	0	0	421929.3678	32069.823	0	0	0	0	60000	0	0	0	0	0	175321.1566	0	0	15843153.34	0	0	6240.9135	299563.848	0	0	0	0	374454.81	0	62409.135	0	3157808.46	1325182.404	0	0	0	0	0	0	0	0	6240.9135	74890.962	307659.33	2204699.458	0	0	0	6240.9135	40000	0	0	124818.2825	0	876017.53	0	0	6240.9135	0	0	0	400000	0	0	0	50000	0	264818.27	0	651396.46	804.9257	3927.08	42281.13717	177987.626	389871.8024	319603.744	1044603.68	2107960	0	2084.5	0
2012	PDT	57663767.39	0	0	0	0	382504.067	302000	909873.07	212191.059	0	964211.5813	297932.082	1187542.083	0	575888.29	8707957.189	0	3183484.264	0	0	309704.896	20000	3751336.56	442709.135	0	205310.84	0	0	0	0	50000	37445.481	0	787427.931	720000	454790.675	0	0	88115.292	0	0	8359.533862	0	337076.3335	24963.654	0	0	0	1859495.246	75000	170743.79	37445.481	0	0	0	313921.023	25000	12481.827	50000	168318.27	106899.41	0	0	0	0	0	698982.312	0	1248182.7	0	0	990341.5	0	611609.523	7322261.006	624091.35	0	0	1392255.392	37445.481	0	0	40800	998546.16	0	269927.308	0	916434.11	581659.71	0	0	247467.2886	249636.54	0	0	0	0	0	299563.848	494900	7213499.03	0	0	0	0	70458.392	0	0	0	0	0	0	0	0	0	0	0	1072.63	0	0	374454.81	0	0	158541.0105	0	398578.034	0	200000	374454.81	4450875.644	0	231972.09	385627.643	0	0	0	0
2012	PSD (current)	55386636.75	0	1070000	0	140546.48	0	158000	1509808	0	0	271083.34	0	285645.5	0	1491626.59	182270	100000	3987900	812400	0	205000	0	1383753.6	300000	0	0	0	0	0	100000	0	0	303976	0	200000	204039	0	0	261126.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1939981.6	0	100000	200000	0	0	0	0	0	200000	0	0	0	0	0	230000	0	0	21765062.92	2952123.63	0	0	225000	0	0	0	1168.62	0	0	100000	0	4152846.22	1303371.24	0	0	118899.73	0	0	0	0	0	0	1038578.66	228400	4267490.75	0	0	0	0	0	0	0	0	0	306666.66	0	0	0	0	0	0	410719.69	0	0	0	0	0	476000	0	1180000	0	0	0	1049828.01	0	0	23323.53	0	0	150000	0
